code_site,adresse,operateur,mise_en_serv,mise_en_serv_4g,mise_en_serv_5g_3500,mise_en_serv_5g_700,type,ardt,geo_shape,geo_point_2d
T15081,179-181 avenue ledru rollin,BOUYGUES,2013-10-01,,,,,75011,"{'type': 'Feature', 'geometry': {'coordinates': [2.378875500271324, 48.8569949995809], 'type': 'Point'}, 'properties': {}}","{'lon': 2.378875500271324, 'lat': 48.8569949995809}"
00007798U5,182 Rue saint honoré,ORANGE,2012-12-03,2012-09-26,,,3G/4G,75001,"{'type': 'Feature', 'geometry': {'coordinates': [2.3389497626231863, 48.86241513011689], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3389497626231863, 'lat': 48.86241513011689}"
T10512,18-20 Rue sebastien mercier,BOUYGUES,2013-07-12,,,,,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.2779675001386757, 48.84477299995204], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2779675001386757, 'lat': 48.84477299995204}"
00000123U7,19 Rue roger bacon,ORANGE,2011-11-25,2013-04-22,,,3G/4G,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.290248000406652, 48.88311300000237], 'type': 'Point'}, 'properties': {}}","{'lon': 2.290248000406652, 'lat': 48.88311300000237}"
75119_033_03,192 Boulevard de la villette,FREE MOBILE,2019-06-07,2019-04-23,2023-08-30,,3G/4G/5G,75019,"{'type': 'Feature', 'geometry': {'coordinates': [2.3705370002467907, 48.88200600031703], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3705370002467907, 'lat': 48.88200600031703}"
T15769,2-4-6 rue blumenthal,BOUYGUES,2013-10-01,,,,,75116,"{'type': 'Feature', 'geometry': {'coordinates': [2.275254000135624, 48.85009200025519], 'type': 'Point'}, 'properties': {}}","{'lon': 2.275254000135624, 'lat': 48.85009200025519}"
00000059U7,2 Rue meilhac,ORANGE,2013-06-16,2013-07-10,2021-04-15,,3G/4G/5G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.2979997300167856, 48.84522514706233], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2979997300167856, 'lat': 48.84522514706233}"
753535,2 Place louis armand,SFR,2021-03-19,,,,2G/3G/4G,75012,"{'type': 'Feature', 'geometry': {'coordinates': [2.3727194995083463, 48.84456599978661], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3727194995083463, 'lat': 48.84456599978661}"
T96205,2 Rte des tribunes (hippodrome longchamps),BOUYGUES,2023-03-08,,,,,75116,"{'type': 'Feature', 'geometry': {'coordinates': [2.23034146358761, 48.86172745969148], 'type': 'Point'}, 'properties': {}}","{'lon': 2.23034146358761, 'lat': 48.86172745969148}"
75118_002_03,2 Rue raymond queneau,FREE MOBILE,2015-04-13,2015-04-13,2022-05-31,,3G/4G/5G,75018,"{'type': 'Feature', 'geometry': {'coordinates': [2.362013999526699, 48.89543400035602], 'type': 'Point'}, 'properties': {}}","{'lon': 2.362013999526699, 'lat': 48.89543400035602}"
7510000041,20 Rue colonel driant,SFR,,,,,2G/3G/4G,75001,"{'type': 'Feature', 'geometry': {'coordinates': [2.3388164997294827, 48.86385300040725], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3388164997294827, 'lat': 48.86385300040725}"
00080172U8,20 Rue gérando,ORANGE,2014-04-09,2014-11-21,,,3G/4G,75009,"{'type': 'Feature', 'geometry': {'coordinates': [2.3466105005480764, 48.88295100027434], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3466105005480764, 'lat': 48.88295100027434}"
751248,21 Rue mercoeur,SFR,2021-03-19,,,,2G/3G/4G/5G,75011,"{'type': 'Feature', 'geometry': {'coordinates': [2.38391099983354, 48.85742700014222], 'type': 'Point'}, 'properties': {}}","{'lon': 2.38391099983354, 'lat': 48.85742700014222}"
00025176U5,21 Rue villiers de l'isle adam,ORANGE,2015-03-11,2015-02-25,2022-11-17,,3G/4G/5G,75020,"{'type': 'Feature', 'geometry': {'coordinates': [2.394794787408366, 48.8662131081268], 'type': 'Point'}, 'properties': {}}","{'lon': 2.394794787408366, 'lat': 48.8662131081268}"
75115_064_02,22 Rue du hameau,FREE MOBILE,2016-12-23,2016-12-23,2021-05-21,,3G/4G/5G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.2882905001214335, 48.834710999991955], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2882905001214335, 'lat': 48.834710999991955}"
75119_067_07,23 Rue armand carrel,FREE MOBILE,2024-08-21,2024-08-21,2024-09-11,,3G/4G/5G,75019,"{'type': 'Feature', 'geometry': {'coordinates': [2.3790509994486344, 48.88254599985286], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3790509994486344, 'lat': 48.88254599985286}"
00000028U8,24 Rue de paradis,ORANGE,2012-12-31,2013-05-23,2019-07-29,,3G/4G/5G,75010,"{'type': 'Feature', 'geometry': {'coordinates': [2.3529059997929878, 48.875022000280204], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3529059997929878, 'lat': 48.875022000280204}"
753542,24 B boulevard saint germain,SFR,2021-09-27,,,,2G/3G/4G/5G,75005,"{'type': 'Feature', 'geometry': {'coordinates': [2.35326599976909, 48.8496329997067], 'type': 'Point'}, 'properties': {}}","{'lon': 2.35326599976909, 'lat': 48.8496329997067}"
751279,247 Rue de belleville,SFR,2021-04-07,,,,2G/3G/4G/5G,75019,"{'type': 'Feature', 'geometry': {'coordinates': [2.397433500644026, 48.87564300019886], 'type': 'Point'}, 'properties': {}}","{'lon': 2.397433500644026, 'lat': 48.87564300019886}"
00025159U5,25 Avenue montaigne,ORANGE,2017-08-16,2016-11-03,2024-06-07,,3G/4G/5G,75008,"{'type': 'Feature', 'geometry': {'coordinates': [2.3043554998189153, 48.866228999850875], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3043554998189153, 'lat': 48.866228999850875}"
7510052062,25 Rue de vouillé,SFR,2023-09-22,,,,3G/4G/5G,75015,"{'type': 'Feature', 'geometry': {'coordinates': [2.305682999821803, 48.83468399971849], 'type': 'Point'}, 'properties': {}}","{'lon': 2.305682999821803, 'lat': 48.83468399971849}"
75105_008_01,25 Rue geoffroy st hilaire,FREE MOBILE,2014-06-05,2014-06-05,2023-04-24,,3G/4G/5G,75005,"{'type': 'Feature', 'geometry': {'coordinates': [2.356146000106302, 48.840273000236124], 'type': 'Point'}, 'properties': {}}","{'lon': 2.356146000106302, 'lat': 48.840273000236124}"
00000417U7,27 Rue médéric,ORANGE,2012-02-23,2013-04-05,2019-07-18,,3G/4G/5G,75017,"{'type': 'Feature', 'geometry': {'coordinates': [2.304679499954684, 48.88135799963256], 'type': 'Point'}, 'properties': {}}","{'lon': 2.304679499954684, 'lat': 48.88135799963256}"
T15799,27 Rue de chaligny,BOUYGUES,2023-09-07,,,,,75012,"{'type': 'Feature', 'geometry': {'coordinates': [2.384104499532663, 48.84970500002607], 'type': 'Point'}, 'properties': {}}","{'lon': 2.384104499532663, 'lat': 48.84970500002607}"
750068,27 Rue saint fargeau,SFR,2021-03-19,,,,2G/3G/4G/5G,75020,"{'type': 'Feature', 'geometry': {'coordinates': [2.4019272948364296, 48.87172110541838], 'type': 'Point'}, 'properties': {}}","{'lon': 2.4019272948364296, 'lat': 48.87172110541838}"
750036,270 Rue saint jacques,SFR,2021-03-19,,,,2G/3G/4G/5G,75005,"{'type': 'Feature', 'geometry': {'coordinates': [2.341163744388048, 48.842039129679215], 'type': 'Point'}, 'properties': {}}","{'lon': 2.341163744388048, 'lat': 48.842039129679215}"
